Name,Collection Month,Year,Tax Type,Amount,FIPS State,Numeric Month
Alabama,April,2019,Alcoholic Beverage,,01,04
Alabama,April,2019,Corporate Income,175385574,01,04
Alabama,April,2019,General Sales,277352000,01,04
Alabama,April,2019,Individual Income,532804493,01,04
Alabama,April,2019,Lodging,7589968,01,04
Alabama,April,2019,Motor Fuel,52036706,01,04
Alabama,April,2019,Tobacco,11777124,01,04
Alabama,April,2020,Alcoholic Beverage,,01,04
Alabama,April,2020,Corporate Income,60292870,01,04
Alabama,April,2020,General Sales,272377000,01,04
Alabama,April,2020,Individual Income,224790003,01,04
Alabama,April,2020,Lodging,3435372,01,04
Alabama,April,2020,Motor Fuel,65662369,01,04
Alabama,April,2020,Tobacco,19493678,01,04
Alabama,April,2021,Alcoholic Beverage,,01,04
Alabama,April,2021,Corporate Income,258821138,01,04
Alabama,April,2021,General Sales,378977109,01,04
Alabama,April,2021,Individual Income,434791513,01,04
Alabama,April,2021,Lodging,7642705,01,04
Alabama,April,2021,Motor Fuel,76906209,01,04
Alabama,April,2021,Tobacco,16206286,01,04
Alabama,August,2019,Alcoholic Beverage,,01,08
Alabama,August,2019,Corporate Income,9285490,01,08
Alabama,August,2019,General Sales,270603110,01,08
Alabama,August,2019,Individual Income,477746073,01,08
Alabama,August,2019,Lodging,10484930,01,08
Alabama,August,2019,Motor Fuel,52798054,01,08
Alabama,August,2019,Tobacco,14731559,01,08
Alabama,August,2020,Alcoholic Beverage,,01,08
Alabama,August,2020,Corporate Income,14549076,01,08
Alabama,August,2020,General Sales,300812117,01,08
Alabama,August,2020,Individual Income,607296373,01,08
Alabama,August,2020,Lodging,9225543,01,08
Alabama,August,2020,Motor Fuel,68727297,01,08
Alabama,August,2020,Tobacco,14695916,01,08
Alabama,August,2021,Alcoholic Beverage,,01,08
Alabama,August,2021,Corporate Income,17803311,01,08
Alabama,August,2021,General Sales,331607626,01,08
Alabama,August,2021,Individual Income,631094034,01,08
Alabama,August,2021,Lodging,13933901,01,08
Alabama,August,2021,Motor Fuel,77552706,01,08
Alabama,August,2021,Tobacco,14428138,01,08
Alabama,December,2019,Alcoholic Beverage,,01,12
Alabama,December,2019,Corporate Income,105065313,01,12
Alabama,December,2019,General Sales,281058002,01,12
Alabama,December,2019,Individual Income,368990774,01,12
Alabama,December,2019,Lodging,5120714,01,12
Alabama,December,2019,Motor Fuel,66672054,01,12
Alabama,December,2019,Tobacco,12549173,01,12
Alabama,December,2020,Alcoholic Beverage,,01,12
Alabama,December,2020,Corporate Income,146722670,01,12
Alabama,December,2020,General Sales,315905617,01,12
Alabama,December,2020,Individual Income,341217408,01,12
Alabama,December,2020,Lodging,4255730,01,12
Alabama,December,2020,Motor Fuel,69345746,01,12
Alabama,December,2020,Tobacco,13305867,01,12
Alabama,December,2021,Alcoholic Beverage,,01,12
Alabama,December,2021,Corporate Income,271079880,01,12
Alabama,December,2021,General Sales,371007752,01,12
Alabama,December,2021,Individual Income,456408511,01,12
Alabama,December,2021,Lodging,6230483,01,12
Alabama,December,2021,Motor Fuel,79305645,01,12
Alabama,December,2021,Tobacco,14068535,01,12
Alabama,February,2020,Alcoholic Beverage,,01,02
Alabama,February,2020,Corporate Income,16578831,01,02
Alabama,February,2020,General Sales,241984193,01,02
Alabama,February,2020,Individual Income,566092838,01,02
Alabama,February,2020,Lodging,5388738,01,02
Alabama,February,2020,Motor Fuel,64761385,01,02
Alabama,February,2020,Tobacco,13813816,01,02
Alabama,February,2021,Alcoholic Beverage,,01,02
Alabama,February,2021,Corporate Income,30827454,01,02
Alabama,February,2021,General Sales,288178414,01,02
Alabama,February,2021,Individual Income,605924807,01,02
Alabama,February,2021,Lodging,4059531,01,02
Alabama,February,2021,Motor Fuel,67832592,01,02
Alabama,February,2021,Tobacco,13197591,01,02
Alabama,January,2020,Alcoholic Beverage,,01,01
Alabama,January,2020,Corporate Income,27031661,01,01
Alabama,January,2020,General Sales,318560144,01,01
Alabama,January,2020,Individual Income,270221601,01,01
Alabama,January,2020,Lodging,4130431,01,01
Alabama,January,2020,Motor Fuel,65383746,01,01
Alabama,January,2020,Tobacco,15617813,01,01
Alabama,January,2021,Alcoholic Beverage,,01,01
Alabama,January,2021,Corporate Income,51424756,01,01
Alabama,January,2021,General Sales,355507770,01,01
Alabama,January,2021,Individual Income,289383962,01,01
Alabama,January,2021,Lodging,3523212,01,01
Alabama,January,2021,Motor Fuel,71431282,01,01
Alabama,January,2021,Tobacco,14720290,01,01
Alabama,July,2019,Alcoholic Beverage,,01,07
Alabama,July,2019,Corporate Income,28981136,01,07
Alabama,July,2019,General Sales,263831195,01,07
Alabama,July,2019,Individual Income,170599036,01,07
Alabama,July,2019,Lodging,10299087,01,07
Alabama,July,2019,Motor Fuel,50579293,01,07
Alabama,July,2019,Tobacco,15996164,01,07
Alabama,July,2020,Alcoholic Beverage,,01,07
Alabama,July,2020,Corporate Income,204374132,01,07
Alabama,July,2020,General Sales,307996726,01,07
Alabama,July,2020,Individual Income,430812684,01,07
Alabama,July,2020,Lodging,8431529,01,07
Alabama,July,2020,Motor Fuel,65992175,01,07
Alabama,July,2020,Tobacco,16318446,01,07
Alabama,July,2021,Alcoholic Beverage,,01,07
Alabama,July,2021,Corporate Income,40308299,01,07
Alabama,July,2021,General Sales,345879842,01,07
Alabama,July,2021,Individual Income,199406399,01,07
Alabama,July,2021,Lodging,12103134,01,07
Alabama,July,2021,Motor Fuel,76892341,01,07
Alabama,July,2021,Tobacco,16808350,01,07
Alabama,June,2019,Alcoholic Beverage,,01,06
Alabama,June,2019,Corporate Income,107356081,01,06
Alabama,June,2019,General Sales,255995739,01,06
Alabama,June,2019,Individual Income,408263410,01,06
Alabama,June,2019,Lodging,7854298,01,06
Alabama,June,2019,Motor Fuel,53790643,01,06
Alabama,June,2019,Tobacco,15313118,01,06
Alabama,June,2020,Alcoholic Beverage,,01,06
Alabama,June,2020,Corporate Income,72100887,01,06
Alabama,June,2020,General Sales,275828790,01,06
Alabama,June,2020,Individual Income,368579953,01,06
Alabama,June,2020,Lodging,6485361,01,06
Alabama,June,2020,Motor Fuel,61272299,01,06
Alabama,June,2020,Tobacco,13289774,01,06
Alabama,June,2021,Alcoholic Beverage,,01,06
Alabama,June,2021,Corporate Income,217329609,01,06
Alabama,June,2021,General Sales,349216941,01,06
Alabama,June,2021,Individual Income,447762415,01,06
Alabama,June,2021,Lodging,9560189,01,06
Alabama,June,2021,Motor Fuel,78332379,01,06
